unique_id,ds,y
nacional,2010-08-01,258781
nacional,2010-09-01,250102
nacional,2010-10-01,280393
nacional,2010-11-01,299770
nacional,2010-12-01,295284
nacional,2011-01-01,336075
nacional,2011-02-01,311274
nacional,2011-03-01,276504
nacional,2011-04-01,261827
nacional,2011-05-01,265778
nacional,2011-06-01,250062
nacional,2011-07-01,293675
nacional,2011-08-01,276631
nacional,2011-09-01,285294
nacional,2011-10-01,311346
nacional,2011-11-01,331817
nacional,2011-12-01,324586
nacional,2012-01-01,390463
nacional,2012-02-01,370506
nacional,2012-03-01,317996
nacional,2012-04-01,311792
nacional,2012-05-01,313590
nacional,2012-06-01,295578
nacional,2012-07-01,371555
nacional,2012-08-01,337063
nacional,2012-09-01,332529
nacional,2012-10-01,366633
nacional,2012-11-01,388734
nacional,2012-12-01,373830
nacional,2013-01-01,449204
nacional,2013-02-01,426544
nacional,2013-03-01,378733
nacional,2013-04-01,362337
nacional,2013-05-01,358394
nacional,2013-06-01,337663
nacional,2013-07-01,421882
nacional,2013-08-01,371376
nacional,2013-09-01,374812
nacional,2013-10-01,422610
nacional,2013-11-01,423135
nacional,2013-12-01,415930
nacional,2014-01-01,491655
nacional,2014-02-01,462561
nacional,2014-03-01,398687
nacional,2014-04-01,374057
nacional,2014-05-01,372005
nacional,2014-06-01,348129
nacional,2014-07-01,432112
nacional,2014-08-01,389277
nacional,2014-09-01,382780
nacional,2014-10-01,421411
nacional,2014-11-01,428619
nacional,2014-12-01,419344
nacional,2015-01-01,483808
nacional,2015-02-01,459478
nacional,2015-03-01,406304
nacional,2015-04-01,369949
nacional,2015-05-01,363310
nacional,2015-06-01,345217
nacional,2015-07-01,440958
nacional,2015-08-01,390740
nacional,2015-09-01,383551
nacional,2015-10-01,438291
nacional,2015-11-01,460002
nacional,2015-12-01,408053
nacional,2016-01-01,514763
nacional,2016-02-01,500810
nacional,2016-03-01,442417
nacional,2016-04-01,391581
nacional,2016-05-01,419445
nacional,2016-06-01,381753
nacional,2016-07-01,469435
nacional,2016-08-01,427611
nacional,2016-09-01,421602
nacional,2016-10-01,469666
nacional,2016-11-01,498835
nacional,2016-12-01,474406
nacional,2017-01-01,538393
nacional,2017-02-01,500284
nacional,2017-03-01,445185
nacional,2017-04-01,417101
nacional,2017-05-01,423387
nacional,2017-06-01,389253
nacional,2017-07-01,503923
nacional,2017-08-01,460196
nacional,2017-09-01,464120
nacional,2017-10-01,541814
nacional,2017-11-01,547904
nacional,2017-12-01,558051
nacional,2018-01-01,651829
nacional,2018-02-01,615065
nacional,2018-03-01,540718
nacional,2018-04-01,408248
nacional,2018-05-01,489215
nacional,2018-06-01,459775
nacional,2018-07-01,583707
nacional,2018-08-01,518287
nacional,2018-09-01,510901
nacional,2018-10-01,607389
nacional,2018-11-01,655782
nacional,2018-12-01,663623
nacional,2019-01-01,781411
nacional,2019-02-01,723509
nacional,2019-03-01,624851
nacional,2019-04-01,567898
nacional,2019-05-01,548453
nacional,2019-06-01,513834
nacional,2019-07-01,661144
nacional,2019-08-01,585059
nacional,2019-09-01,591312
nacional,2019-10-01,583822
nacional,2019-11-01,605879
nacional,2019-12-01,679917
nacional,2020-01-01,814052
nacional,2020-02-01,800674
nacional,2020-03-01,408964
nacional,2020-04-01,49955
nacional,2020-05-01,50325
nacional,2020-06-01,57730
nacional,2020-07-01,62149
nacional,2020-08-01,82970
nacional,2020-09-01,124915
nacional,2020-10-01,179019
nacional,2020-11-01,248663
nacional,2020-12-01,285472
nacional,2021-01-01,290506
nacional,2021-02-01,302140
nacional,2021-03-01,292982
nacional,2021-04-01,167062
nacional,2021-05-01,227483
nacional,2021-06-01,267369
nacional,2021-07-01,399749
nacional,2021-08-01,425094
nacional,2021-09-01,480304
nacional,2021-10-01,540108
nacional,2021-11-01,558329
nacional,2021-12-01,595845
nacional,2022-01-01,668821
nacional,2022-02-01,626631
nacional,2022-03-01,541564
nacional,2022-04-01,493781
nacional,2022-05-01,509806
nacional,2022-06-01,464186
nacional,2022-07-01,567796
nacional,2022-08-01,511630
nacional,2022-09-01,507531
nacional,2022-10-01,576147
nacional,2022-11-01,582721
nacional,2022-12-01,610468
nacional,2023-01-01,684412
nacional,2023-02-01,637795
nacional,2023-03-01,630906
nacional,2023-04-01,566843
nacional,2023-05-01,575948
nacional,2023-06-01,558090
nacional,2023-07-01,681154
nacional,2023-08-01,594080
nacional,2023-09-01,616915
nacional,2023-10-01,657137
nacional,2023-11-01,686558
nacional,2023-12-01,694249
nacional,2024-01-01,828407
nacional,2024-02-01,762589
nacional,2024-03-01,671560
nacional,2024-04-01,619627
nacional,2024-05-01,604966
nacional,2024-06-01,575473
nacional,2024-07-01,670578
nacional,2024-08-01,598257
nacional,2024-09-01,655880
nacional,2024-10-01,714135
nacional,2024-11-01,717691
nacional,2024-12-01,725568
nacional,2025-01-01,805285
nacional,2025-02-01,763051
nacional,2025-03-01,716515
nacional,2025-04-01,614899
nacional,2025-05-01,600633
nacional,2025-06-01,600571
nacional,2025-07-01,652127
nacional,2025-08-01,585432
nacional,2025-09-01,636259
nacional,2025-10-01,698209
nacional,2025-11-01,646136
nacional,2025-12-01,711696
total,2010-01-01,559930
total,2010-02-01,464686
total,2010-03-01,318236
total,2010-04-01,382479
total,2010-05-01,408497
total,2010-06-01,388153
total,2010-07-01,485333
total,2010-08-01,462857
total,2010-09-01,473946
total,2010-10-01,512958
total,2010-11-01,520179
total,2010-12-01,535345
total,2011-01-01,637011
total,2011-02-01,578817
total,2011-03-01,515127
total,2011-04-01,483359
total,2011-05-01,480594
total,2011-06-01,448105
total,2011-07-01,571696
total,2011-08-01,517872
total,2011-09-01,528915
total,2011-10-01,558849
total,2011-11-01,567208
total,2011-12-01,601150
total,2012-01-01,735816
total,2012-02-01,691230
total,2012-03-01,593609
total,2012-04-01,586983
total,2012-05-01,575559
total,2012-06-01,548093
total,2012-07-01,661033
total,2012-08-01,602087
total,2012-09-01,599552
total,2012-10-01,649541
total,2012-11-01,647463
total,2012-12-01,667115
total,2013-01-01,798820
total,2013-02-01,747770
total,2013-03-01,667840
total,2013-04-01,639816
total,2013-05-01,622295
total,2013-06-01,593054
total,2013-07-01,724256
total,2013-08-01,641485
total,2013-09-01,647782
total,2013-10-01,705127
total,2013-11-01,686151
total,2013-12-01,707477
total,2014-01-01,847845
total,2014-02-01,777313
total,2014-03-01,698237
total,2014-04-01,646869
total,2014-05-01,658917
total,2014-06-01,619774
total,2014-07-01,748736
total,2014-08-01,703455
total,2014-09-01,682481
total,2014-10-01,732217
total,2014-11-01,718074
total,2014-12-01,745126
total,2015-01-01,884142
total,2015-02-01,808865
total,2015-03-01,725467
total,2015-04-01,681620
total,2015-05-01,683441
total,2015-06-01,643667
total,2015-07-01,806083
total,2015-08-01,736255
total,2015-09-01,711542
total,2015-10-01,782544
total,2015-11-01,795930
total,2015-12-01,775962
total,2016-01-01,945464
total,2016-02-01,892096
total,2016-03-01,795585
total,2016-04-01,732687
total,2016-05-01,773635
total,2016-06-01,723986
total,2016-07-01,886701
total,2016-08-01,819647
total,2016-09-01,799497
total,2016-10-01,868002
total,2016-11-01,861046
total,2016-12-01,901321
total,2017-01-01,1056034
total,2017-02-01,942160
total,2017-03-01,865766
total,2017-04-01,822241
total,2017-05-01,829169
total,2017-06-01,778393
total,2017-07-01,987451
total,2017-08-01,909163
total,2017-09-01,896797
total,2017-10-01,1002072
total,2017-11-01,964297
total,2017-12-01,1031693
total,2018-01-01,1206447
total,2018-02-01,1108367
total,2018-03-01,992752
total,2018-04-01,841233
total,2018-05-01,916034
total,2018-06-01,854836
total,2018-07-01,1082561
total,2018-08-01,966009
total,2018-09-01,943761
total,2018-10-01,1060525
total,2018-11-01,1081591
total,2018-12-01,1154376
total,2019-01-01,1353438
total,2019-02-01,1218763
total,2019-03-01,1114081
total,2019-04-01,1014966
total,2019-05-01,995685
total,2019-06-01,933527
total,2019-07-01,1164974
total,2019-08-01,1048889
total,2019-09-01,1025913
total,2019-10-01,1003422
total,2019-11-01,988169
total,2019-12-01,1143013
total,2020-01-01,1357344
total,2020-02-01,1275510
total,2020-03-01,663613
total,2020-04-01,55244
total,2020-05-01,55479
total,2020-06-01,65518
total,2020-07-01,74115
total,2020-08-01,95780
total,2020-09-01,142760
total,2020-10-01,216036
total,2020-11-01,304823
total,2020-12-01,396123
total,2021-01-01,391709
total,2021-02-01,387047
total,2021-03-01,371021
total,2021-04-01,189266
total,2021-05-01,246788
total,2021-06-01,298232
total,2021-07-01,444089
total,2021-08-01,507228
total,2021-09-01,574090
total,2021-10-01,662875
total,2021-11-01,723282
total,2021-12-01,834123
total,2022-01-01,917551
total,2022-02-01,844850
total,2022-03-01,770926
total,2022-04-01,746318
total,2022-05-01,781135
total,2022-06-01,720586
total,2022-07-01,898355
total,2022-08-01,813851
total,2022-09-01,816369
total,2022-10-01,920933
total,2022-11-01,929217
total,2022-12-01,1006276
total,2023-01-01,1137669
total,2023-02-01,1045435
total,2023-03-01,1013515
total,2023-04-01,928000
total,2023-05-01,927016
total,2023-06-01,933071
total,2023-07-01,1107545
total,2023-08-01,1007111
total,2023-09-01,1023986
total,2023-10-01,1081115
total,2023-11-01,1123661
total,2023-12-01,1177456
total,2024-01-01,1388216
total,2024-02-01,1267660
total,2024-03-01,1144719
total,2024-04-01,1045064
total,2024-05-01,1030563
total,2024-06-01,1043118
total,2024-07-01,1202769
total,2024-08-01,1118257
total,2024-09-01,1157648
total,2024-10-01,1219069
total,2024-11-01,1198838
total,2024-12-01,1291959
total,2025-01-01,1454958
total,2025-02-01,1324346
total,2025-03-01,1242552
total,2025-04-01,1063261
total,2025-05-01,1045397
total,2025-06-01,1073433
total,2025-07-01,1207547
total,2025-08-01,1117722
total,2025-09-01,1118963
total,2025-10-01,1166158
total,2025-11-01,1104205
total,2025-12-01,1289107
